"SKU","Name","Variant","Category","Cost Price","Selling Price","Stock","Barcode","image_url"
"SSNC","Sink Shower Neck Color","Tap/Valve","Accessories","500","500","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SW","Sink Waste","Bathroom","Accessories","200","200","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SD","Soap Dish Steel","Bathroom","Accessories","150","150","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SKT110MM","Socket 110mm","PPR","Sanitary Fittings","1693","2821","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SKT20MM","Socket 20mm","PPR","Sanitary Fittings","16","27","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SKT25MM","Socket 25mm","PPR","Sanitary Fittings","26","44","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SKT32MM","Socket 32mm","PPR","Sanitary Fittings","47","78","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SKT40MM","Socket 40mm","PPR","Sanitary Fittings","80","133","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SKT50MM","Socket 50mm","PPR","Sanitary Fittings","111","185","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SKT63MM","Socket 63mm","PPR","Sanitary Fittings","204","340","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SKT75MM","Socket 75mm","PPR","Sanitary Fittings","571","952","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SKT90MM","Socket 90mm","PPR","Sanitary Fittings","971","1618","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PS2MF","Socket MFit 2in","PPR","Sanitary Fittings","45","75","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PS3MF","Socket MFit 3in","PPR","Sanitary Fittings","78","130","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PS32","Socket MFit 3x2","PPR","Sanitary Fittings","72","120","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PS4MF","Socket MFit 4in","PPR","Sanitary Fittings","96","160","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PS43","Socket MFit 4x3","PPR","Sanitary Fittings","123","205","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SA25","Socket PPR ACCUFIT 25mm","PPR","Sanitary Fittings","14","20","375","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SA252","Socket PPR ACCUFIT 25x1/2","PPR","Sanitary Fittings","70","97","51","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SA254","Socket PPR ACCUFIT 25x3/4","PPR","Sanitary Fittings","93","129","200","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SA3225","Socket PPR ACCUFIT 25x32","PPR","Sanitary Fittings","22","30","43","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SA32","Socket PPR ACCUFIT 32mm","PPR","Sanitary Fittings","23","32","28","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SA322","Socket PPR ACCUFIT 32x1/2","PPR","Sanitary Fittings","122","170","283","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SA321","Socket PPR ACCUFIT 32x1in","PPR","Sanitary Fittings","241","335","453","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SA324","Socket PPR ACCUFIT 32x3/4","PPR","Sanitary Fittings","160","222","259","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SM25","Socket PPR Master 25mm","PPR","Sanitary Fittings","12","20","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SM252","Socket PPR Master 25x1/2","PPR","Sanitary Fittings","66","110","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SM254","Socket PPR Master 25x3/4","PPR","Sanitary Fittings","86","144","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SM3225","Socket PPR Master 25x32","PPR","Sanitary Fittings","15","25","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SM32","Socket PPR Master 32mm","PPR","Sanitary Fittings","20","33","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SM321","Socket PPR Master 32x1","PPR","Sanitary Fittings","150","250","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SM324","Socket PPR Master 32x3/4","PPR","Sanitary Fittings","94","156","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"SN12","Steel Nails 1.5in per dozen","Hardware","Accessories","60","60","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SN1","Steel Nails 1in per dozen","Hardware","Accessories","40","40","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SN22","Steel Nails 2.5in per dozen","Hardware","Accessories","120","120","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SN2","Steel Nails 2in per dozen","Hardware","Accessories","80","80","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SN3","Steel Nails 3in per dozen","Hardware","Accessories","140","140","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SN4","Steel Nails 4in per piece","Hardware","Accessories","15","15","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SN5","Steel Nails 5in per piece","Hardware","Accessories","20","20","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SN6","Steel Nails 6in per piece","Hardware","Accessories","30","30","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"TCC","Tee Cock China 1/2","Tap/Valve","Sanitary Fittings","350","350","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TA25","Tee PPR ACCUFIT 25mm","PPR","Sanitary Fittings","20","28","95","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TA252","Tee PPR ACCUFIT 25x1/2","PPR","Sanitary Fittings","91","126","84","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TA2532","Tee PPR ACCUFIT 25x32","PPR","Sanitary Fittings","43","60","93","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TA32","Tee PPR ACCUFIT 32mm","PPR","Sanitary Fittings","41","57","52","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TA322","Tee PPR ACCUFIT 32x1/2","PPR","Sanitary Fittings","138","192","395","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TA324","Tee PPR ACCUFIT 32x3/4","PPR","Sanitary Fittings","160","222","253","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TM25","Tee PPR Master 25mm","PPR","Sanitary Fittings","22","37","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TM252","Tee PPR Master 25x1/2","PPR","Sanitary Fittings","81","135","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TM2532","Tee PPR Master 25x32","PPR","Sanitary Fittings","33","55","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TM32","Tee PPR Master 32mm","PPR","Sanitary Fittings","36","60","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
